"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1401,7,1401.54166666667,"اصفهان",1561,1852.2,-291.2,-0.186547085201794
1399,8,1399.625,"اصفهان",4426,1833.2,2592.8,0.585811116131948
1400,8,1400.625,"اصفهان",2569,1833.2,735.8,0.28641494745037
1399,9,1399.70833333333,"اصفهان",3169,2147,1022,0.322499211107605
1400,9,1400.70833333333,"اصفهان",2422,2147,275,0.113542526837325
1399,10,1399.79166666667,"اصفهان",2581,2081.25,499.75,0.193626501356064
1400,10,1400.79166666667,"اصفهان",2005,2081.25,-76.25,-0.0380299251870324
1398,11,1398.875,"اصفهان",1990,2452.70000000001,-462.700000000012,-0.232512562814076
1399,11,1399.875,"اصفهان",1885,2585,-700,-0.371352785145889
1400,11,1400.875,"اصفهان",2372,2717.30000000002,-345.300000000017,-0.145573355817883
1398,12,1398.95833333333,"اصفهان",1932,1913.4,18.5999999999999,0.00962732919254654
1399,12,1399.95833333333,"اصفهان",2260,1913.4,346.6,0.153362831858407
1400,12,1400.95833333333,"اصفهان",3135,1913.4,1221.6,0.389665071770335
1399,1,1399.04166666667,"البرز",1122,799,323,0.287878787878788
1400,1,1400.04166666667,"البرز",1632,799,833,0.510416666666667
1401,1,1401.04166666667,"البرز",966,799,167,0.17287784679089
1399,2,1399.125,"البرز",997,833.6,163.4,0.163891675025075
1400,2,1400.125,"البرز",2233,833.6,1399.4,0.626690550828482
1401,2,1401.125,"البرز",1032,833.6,198.4,0.192248062015504
1399,3,1399.20833333333,"البرز",1152,928.400000000001,223.599999999999,0.194097222222221
1400,3,1400.20833333333,"البرز",1240,974,266,0.214516129032258
1401,3,1401.20833333333,"البرز",1136,1019.6,116.400000000001,0.102464788732396
1399,4,1399.29166666667,"البرز",1387,844.899999999994,542.100000000006,0.390843547224229
1400,4,1400.29166666667,"البرز",1377,868.799999999988,508.200000000012,0.369063180827895
1401,4,1401.29166666667,"البرز",1204,892.69999999999,311.30000000001,0.258554817275756
1399,5,1399.375,"البرز",1642,970.900000000001,671.099999999999,0.408708891595614
1400,5,1400.375,"البرز",2023,1011.8,1011.2,0.499851705388036
1401,5,1401.375,"البرز",1014,1052.7,-38.7000000000044,-0.0381656804733771
1399,6,1399.45833333333,"البرز",1062,803.2,258.8,0.243691148775894
1400,6,1400.45833333333,"البرز",2173,803.2,1369.8,0.630372756557754
1401,6,1401.45833333333,"البرز",968,803.2,164.8,0.170247933884297
1399,7,1399.54166666667,"البرز",1567,798.4,768.6,0.490491384811742
1400,7,1400.54166666667,"البرز",1589,798.4,790.6,0.497545626179987
1401,7,1401.54166666667,"البرز",822,798.4,23.6,0.0287104622871047
1399,8,1399.625,"البرز",2036,899.399999999994,1136.60000000001,0.55825147347741
1400,8,1400.625,"البرز",1104,951.199999999997,152.800000000003,0.138405797101452
1399,9,1399.70833333333,"البرز",1469,843.6,625.4,0.42573179033356
1400,9,1400.70833333333,"البرز",1200,843.6,356.4,0.297
1399,10,1399.79166666667,"البرز",1197,905.25,291.75,0.243734335839599
1400,10,1400.79166666667,"البرز",964,905.25,58.75,0.0609439834024896
1398,11,1398.875,"البرز",940,848.2,91.8,0.0976595744680851
1399,11,1399.875,"البرز",939,848.2,90.8,0.0966986155484558
1400,11,1400.875,"البرز",1217,848.2,368.8,0.30304026294166
1398,12,1398.95833333333,"البرز",951,869.199999999983,81.8000000000175,0.08601472134597
1399,12,1399.95833333333,"البرز",1190,901.799999999981,288.200000000019,0.242184873949596
1400,12,1400.95833333333,"البرز",1622,934.39999999998,687.60000000002,0.423921085080161
1399,1,1399.04166666667,"ايلام",225,212.2,12.8,0.0568888888888889
1400,1,1400.04166666667,"ايلام",232,212.2,19.8,0.0853448275862069
1401,1,1401.04166666667,"ايلام",201,212.2,-11.2,-0.0557213930348258
1399,2,1399.125,"ايلام",219,193.6,25.4,0.115981735159817
1400,2,1400.125,"ايلام",284,193.6,90.4,0.31830985915493
1401,2,1401.125,"ايلام",204,193.6,10.4,0.0509803921568628
1399,3,1399.20833333333,"ايلام",235,184.8,50.2,0.213617021276596
1400,3,1400.20833333333,"ايلام",236,184.8,51.2,0.216949152542373
