"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1400,1,1400.04166666667,"خوزستان",2671,1922.8,748.199999999997,0.28011980531636
1400,2,1400.125,"خوزستان",3352,1620.8,1731.2,0.516467780429594
1399,3,1399.20833333333,"خوزستان",2497,1517,980,0.39247096515819
1400,3,1400.20833333333,"خوزستان",2079,1517,562,0.27032227032227
1401,3,1401.20833333333,"خوزستان",1959,1517,442,0.225625319040327
1399,4,1399.29166666667,"خوزستان",4008,1495,2513,0.626996007984032
1400,4,1400.29166666667,"خوزستان",1972,1495,477,0.241886409736308
1401,4,1401.29166666667,"خوزستان",1714,1495,219,0.127771295215869
1399,5,1399.375,"خوزستان",2645,1562,1083,0.40945179584121
1400,5,1400.375,"خوزستان",2274,1562,712,0.313104661389622
1401,5,1401.375,"خوزستان",1886,1562,324,0.171792152704136
1399,6,1399.45833333333,"خوزستان",1783,1630.4,152.6,0.0855860908581043
1400,6,1400.45833333333,"خوزستان",4862,1630.4,3231.6,0.664664747017688
1401,6,1401.45833333333,"خوزستان",1788,1630.4,157.6,0.0881431767337807
1399,7,1399.54166666667,"خوزستان",2133,1651.2,481.8,0.225879043600563
1400,7,1400.54166666667,"خوزستان",2767,1651.2,1115.8,0.403252620166245
1399,8,1399.625,"خوزستان",2511,1641.6,869.4,0.346236559139785
1400,8,1400.625,"خوزستان",1970,1641.6,328.4,0.166700507614213
1399,12,1399.95833333333,"خوزستان",2730,1751.4,978.6,0.358461538461538
1400,12,1400.95833333333,"خوزستان",2771,1751.4,1019.6,0.367953807289787
1399,2,1399.125,"زنجان",499,420.6,78.4,0.157114228456914
1400,2,1400.125,"زنجان",902,420.6,481.4,0.53370288248337
1399,3,1399.20833333333,"زنجان",481,387.8,93.2,0.193762993762994
1400,3,1400.20833333333,"زنجان",547,387.8,159.2,0.291042047531993
1401,3,1401.20833333333,"زنجان",474,387.8,86.2,0.181856540084388
1399,4,1399.29166666667,"زنجان",658,413.4,244.6,0.371732522796353
1401,4,1401.29166666667,"زنجان",522,413.4,108.6,0.208045977011494
1399,5,1399.375,"زنجان",745,431.8,313.2,0.420402684563758
1400,5,1400.375,"زنجان",493,431.8,61.2,0.124137931034483
